csd_id,name,smiles1,smiles2,year,functionality,group
HORNEI,Megestrol acetate saccharin,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,2008,h-bond,2
HOTZEW,N-(2-(4-Methoxyphenyl)ethyl)-2-(quinolin-8-yloxy)acetamide L-(+)-Ã?Â±-hydroxyphenylacetic acid,COC1=CC=C(C=C1)CCNC(=O)COC2=CC=CC3=C2N=CC=C3,C1=CC=C(C=C1)[C@H](C(=O)O)O,2008,h-bond,2
HOVDAY,"bis((-)-5,8,13,13a-Tetrahydro-9,10-dimethoxy-2,3-methylenedioxy-6H-dibenzo(a,g)quinolizine) (+)-2,3-bis(((4-methylphenyl)carbonyl)oxy)butanedioic acid",CC1=CC=C(C=C1)C(=O)O[C@@H]([C@@H](C(=O)O)OC(=O)C2=CC=C(C=C2)C)C(=O)O,COC1=C(C2=C(C[C@@H]3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,2008,h-bond,2
IFUQAC,"4,4'-Bipyridine bis(cyanoacetic acid)",C1=CN=CC=C1C2=CC=NC=C2,C(C#N)C(=O)O,2008,h-bond,2
JOFJUK,"4-Chloro-3-fluoro-2-methylaniline pyrrolidine-2,5-dione",CC1=C(C=CC(=C1F)Cl)N,C1CC(=O)NC1=O,2008,h-bond,2
KOFFOB,"3-Chloro-6-(3,5-dimethyl-1H-pyrazol-1-yl)picolinic acid triphenylphosphine oxide",C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC(=NN1C2=NC(=C(C=C2)Cl)C(=O)O)C,2008,h-bond,2
KOLSEK,"1,5-Di(pyridin-4-yl)penta-1,4-dien-3-one resorcinol",C1=CN=CC=C1/C=C/C(=O)/C=C/C2=CC=NC=C2,C1=CC(=CC(=C1)O)O,2008,h-bond,2
LIXMEL,"N-(2,6-bis(2,4,6-Trimethylphenyl)phenyl)nitrosobenzene hemikis(N,N'-dioxido-N,N'-diphenylhydrazine)",CC1=CC(=C(C(=C1)C)C2=C(C(=CC=C2)C3=C(C=C(C=C3C)C)C)N(C4=CC=CC=C4)O)C,C1=CC=C(C=C1)N(N(C2=CC=CC=C2)O)O,2008,h-bond,2
LOCHOB,4-Nitrophenol acetamide,C1=CC(=CC=C1[N+](=O)[O-])O,CC(=O)N,2008,h-bond,2
LOCKEU,"3,3',5,5'-Tetramethyl-4,4'-bipyrazole sesquikis(pentafluorophenol)",CC1=C(C(=NN1)C)C2=C(NN=C2C)C,C1(=C(C(=C(C(=C1F)F)F)F)F)O,2008,h-bond,2
LOFKIB,Carbamazepine isonicotinamide,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C1=CN=CC=C1C(=O)N,2008,h-bond,2
